service_id,service_name,supplier_name,supplier_location,price_range,description,rating
S001,Spare Parts Supply for Drilling Equipment Model 154,Supplier 12,"Paris, France",739-5058,"Repair services provided by Supplier 12 for Drilling Equipment Model 154, ensuring high-quality support and reliability.",4.9
S002,Upgrades for Air Compressors Model 619,Supplier 2,"Toronto, Canada",2677-14155,"Repair services provided by Supplier 2 for Air Compressors Model 619, ensuring high-quality support and reliability.",3.6
S003,Calibration for HVAC Systems Model 644,Supplier 16,"Tokyo, Japan",718-6014,"Upgrades services provided by Supplier 16 for HVAC Systems Model 644, ensuring high-quality support and reliability.",3.9
S004,Upgrades for Generators Model 163,Supplier 5,"Tokyo, Japan",1900-10239,"Spare Parts Supply services provided by Supplier 5 for Generators Model 163, ensuring high-quality support and reliability.",4.5
S005,Emergency Support for Welding Machines Model 348,Supplier 5,"Sydney, Australia",4563-11752,"Repair services provided by Supplier 5 for Welding Machines Model 348, ensuring high-quality support and reliability.",4.5
S006,Repair for HVAC Systems Model 614,Supplier 10,"Sydney, Australia",3166-5213,"Upgrades services provided by Supplier 10 for HVAC Systems Model 614, ensuring high-quality support and reliability.",3.8
S007,Installation for Conveyors Model 204,Supplier 12,"Dubai, UAE",1443-17796,"Inspection services provided by Supplier 12 for Conveyors Model 204, ensuring high-quality support and reliability.",4.6
S008,Upgrades for Generators Model 107,Supplier 29,"Berlin, Germany",2431-18203,"Installation services provided by Supplier 29 for Generators Model 107, ensuring high-quality support and reliability.",4.4
S009,Calibration for Pumps Model 163,Supplier 10,"London, UK",2164-5217,"Installation services provided by Supplier 10 for Pumps Model 163, ensuring high-quality support and reliability.",4.0
S010,Emergency Support for Conveyors Model 522,Supplier 20,"Paris, France",2063-13072,"Training services provided by Supplier 20 for Conveyors Model 522, ensuring high-quality support and reliability.",4.4
S011,Installation for Welding Machines Model 654,Supplier 20,"New York, USA",4390-12549,"Emergency Support services provided by Supplier 20 for Welding Machines Model 654, ensuring high-quality support and reliability.",4.0
S012,Inspection for Air Compressors Model 619,Supplier 27,"New York, USA",1992-15676,"Consulting services provided by Supplier 27 for Air Compressors Model 619, ensuring high-quality support and reliability.",3.8
S013,Maintenance for Filters Model 821,Supplier 16,"New York, USA",2313-17058,"Training services provided by Supplier 16 for Filters Model 821, ensuring high-quality support and reliability.",4.7
S014,Emergency Support for Air Compressors Model 325,Supplier 27,"New York, USA",765-14434,"Repair services provided by Supplier 27 for Air Compressors Model 325, ensuring high-quality support and reliability.",3.5
S015,Training for Drilling Equipment Model 510,Supplier 12,"Paris, France",4954-7693,"Installation services provided by Supplier 12 for Drilling Equipment Model 510, ensuring high-quality support and reliability.",3.9
S016,Repair for HVAC Systems Model 496,Supplier 28,"Tokyo, Japan",730-10431,"Training services provided by Supplier 28 for HVAC Systems Model 496, ensuring high-quality support and reliability.",3.9
S017,Training for Drilling Equipment Model 847,Supplier 16,"Paris, France",3233-9692,"Consulting services provided by Supplier 16 for Drilling Equipment Model 847, ensuring high-quality support and reliability.",3.7
S018,Consulting for Air Compressors Model 619,Supplier 7,"Mumbai, India",3927-19896,"Repair services provided by Supplier 7 for Air Compressors Model 619, ensuring high-quality support and reliability.",4.9
S019,Consulting for Generators Model 806,Supplier 12,"Dubai, UAE",3350-7831,"Spare Parts Supply services provided by Supplier 12 for Generators Model 806, ensuring high-quality support and reliability.",5.0
S020,Spare Parts Supply for Bolts and Fasteners Model 533,Supplier 10,"London, UK",2304-13161,"Emergency Support services provided by Supplier 10 for Bolts and Fasteners Model 533, ensuring high-quality support and reliability.",4.0
S021,Calibration for Industrial Valves Model 456,Supplier 26,"Mumbai, India",4983-13811,"Training services provided by Supplier 26 for Industrial Valves Model 456, ensuring high-quality support and reliability.",4.2
S022,Inspection for Drilling Equipment Model 933,Supplier 7,"Paris, France",4163-8601,"Calibration services provided by Supplier 7 for Drilling Equipment Model 933, ensuring high-quality support and reliability.",3.7
S023,Emergency Support for Welding Machines Model 357,Supplier 7,"Toronto, Canada",1580-15192,"Upgrades services provided by Supplier 7 for Welding Machines Model 357, ensuring high-quality support and reliability.",4.3
S024,Consulting for HVAC Systems Model 248,Supplier 23,"Mumbai, India",684-10069,"Inspection services provided by Supplier 23 for HVAC Systems Model 248, ensuring high-quality support and reliability.",4.9
S025,Installation for Bolts and Fasteners Model 205,Supplier 26,"Beijing, China",633-8780,"Spare Parts Supply services provided by Supplier 26 for Bolts and Fasteners Model 205, ensuring high-quality support and reliability.",4.3
S026,Installation for Industrial Valves Model 709,Supplier 1,"Mumbai, India",1454-19875,"Installation services provided by Supplier 1 for Industrial Valves Model 709, ensuring high-quality support and reliability.",4.3
S027,Maintenance for Bolts and Fasteners Model 336,Supplier 7,"Mumbai, India",3426-18118,"Emergency Support services provided by Supplier 7 for Bolts and Fasteners Model 336, ensuring high-quality support and reliability.",4.4
S028,Spare Parts Supply for Filters Model 208,Supplier 7,"Paris, France",2413-15844,"Inspection services provided by Supplier 7 for Filters Model 208, ensuring high-quality support and reliability.",4.2
S029,Emergency Support for Industrial Valves Model 709,Supplier 9,"Beijing, China",4876-15567,"Repair services provided by Supplier 9 for Industrial Valves Model 709, ensuring high-quality support and reliability.",4.2
S030,Upgrades for Air Compressors Model 939,Supplier 30,"Mumbai, India",1893-6280,"Consulting services provided by Supplier 30 for Air Compressors Model 939, ensuring high-quality support and reliability.",4.5
S031,Spare Parts Supply for HVAC Systems Model 333,Supplier 12,"Dubai, UAE",4978-13448,"Installation services provided by Supplier 12 for HVAC Systems Model 333, ensuring high-quality support and reliability.",3.6
S032,Training for HVAC Systems Model 664,Supplier 29,"Berlin, Germany",3098-19916,"Emergency Support services provided by Supplier 29 for HVAC Systems Model 664, ensuring high-quality support and reliability.",4.3
S033,Training for HVAC Systems Model 653,Supplier 23,"Mumbai, India",2409-10407,"Consulting services provided by Supplier 23 for HVAC Systems Model 653, ensuring high-quality support and reliability.",4.0
S034,Training for Air Compressors Model 325,Supplier 20,"Paris, France",533-17211,"Calibration services provided by Supplier 20 for Air Compressors Model 325, ensuring high-quality support and reliability.",4.9
S035,Spare Parts Supply for Welding Machines Model 348,Supplier 27,"New York, USA",1768-12887,"Installation services provided by Supplier 27 for Welding Machines Model 348, ensuring high-quality support and reliability.",3.9
S036,Consulting for Bolts and Fasteners Model 205,Supplier 7,"Tokyo, Japan",4429-8699,"Repair services provided by Supplier 7 for Bolts and Fasteners Model 205, ensuring high-quality support and reliability.",4.3
S037,Inspection for Air Compressors Model 848,Supplier 26,"Dubai, UAE",3898-10920,"Upgrades services provided by Supplier 26 for Air Compressors Model 848, ensuring high-quality support and reliability.",3.7
S038,Calibration for Pumps Model 163,Supplier 27,"London, UK",4650-9978,"Maintenance services provided by Supplier 27 for Pumps Model 163, ensuring high-quality support and reliability.",4.2
S039,Upgrades for Drilling Equipment Model 421,Supplier 5,"Tokyo, Japan",2975-12091,"Repair services provided by Supplier 5 for Drilling Equipment Model 421, ensuring high-quality support and reliability.",4.3
S040,Repair for Drilling Equipment Model 847,Supplier 9,"Mumbai, India",1005-8720,"Calibration services provided by Supplier 9 for Drilling Equipment Model 847, ensuring high-quality support and reliability.",4.4
S041,Training for Air Compressors Model 848,Supplier 14,"Mumbai, India",2301-6240,"Emergency Support services provided by Supplier 14 for Air Compressors Model 848, ensuring high-quality support and reliability.",3.5
S042,Emergency Support for Air Compressors Model 590,Supplier 27,"Toronto, Canada",978-9361,"Training services provided by Supplier 27 for Air Compressors Model 590, ensuring high-quality support and reliability.",3.7
S043,Training for Air Compressors Model 602,Supplier 20,"Mumbai, India",1060-10580,"Upgrades services provided by Supplier 20 for Air Compressors Model 602, ensuring high-quality support and reliability.",5.0
S044,Maintenance for Generators Model 997,Supplier 28,"Tokyo, Japan",2076-15817,"Consulting services provided by Supplier 28 for Generators Model 997, ensuring high-quality support and reliability.",3.9
S045,Spare Parts Supply for Drilling Equipment Model 685,Supplier 28,"Tokyo, Japan",2621-9997,"Upgrades services provided by Supplier 28 for Drilling Equipment Model 685, ensuring high-quality support and reliability.",3.6
S046,Consulting for Air Compressors Model 424,Supplier 7,"Mumbai, India",4212-8496,"Calibration services provided by Supplier 7 for Air Compressors Model 424, ensuring high-quality support and reliability.",4.9
S047,Training for Drilling Equipment Model 421,Supplier 20,"Mumbai, India",3113-15700,"Repair services provided by Supplier 20 for Drilling Equipment Model 421, ensuring high-quality support and reliability.",4.3
S048,Consulting for Filters Model 711,Supplier 25,"Dubai, UAE",4455-7632,"Upgrades services provided by Supplier 25 for Filters Model 711, ensuring high-quality support and reliability.",4.7
S049,Installation for Welding Machines Model 631,Supplier 5,"Tokyo, Japan",2367-12991,"Installation services provided by Supplier 5 for Welding Machines Model 631, ensuring high-quality support and reliability.",4.5
S050,Upgrades for Industrial Valves Model 998,Supplier 9,"Sydney, Australia",4697-14087,"Spare Parts Supply services provided by Supplier 9 for Industrial Valves Model 998, ensuring high-quality support and reliability.",3.6
